O*NET-SOC Code,Title,Description,AB_Arm-Hand Steadiness,AB_Auditory Attention,AB_Category Flexibility,AB_Control Precision,AB_Deductive Reasoning,AB_Depth Perception,AB_Dynamic Flexibility,AB_Dynamic Strength,AB_Explosive Strength,AB_Extent Flexibility,AB_Far Vision,AB_Finger Dexterity,AB_Flexibility of Closure,AB_Fluency of Ideas,AB_Glare Sensitivity,AB_Gross Body Coordination,AB_Gross Body Equilibrium,AB_Hearing Sensitivity,AB_Inductive Reasoning,AB_Information Ordering,AB_Manual Dexterity,AB_Mathematical Reasoning,AB_Memorization,AB_Multilimb Coordination,AB_Near Vision,AB_Night Vision,AB_Number Facility,AB_Oral Comprehension,AB_Oral Expression,AB_Originality,AB_Perceptual Speed,AB_Peripheral Vision,AB_Problem Sensitivity,AB_Rate Control,AB_Reaction Time,AB_Response Orientation,AB_Selective Attention,AB_Sound Localization,AB_Spatial Orientation,AB_Speech Clarity,AB_Speech Recognition,AB_Speed of Closure,AB_Speed of Limb Movement,AB_Stamina,AB_Static Strength,AB_Time Sharing,AB_Trunk Strength,AB_Visual Color Discrimination,AB_Visualization,AB_Wrist-Finger Speed,AB_Written Comprehension,AB_Written Expression,WS_Achievement Orientation,WS_Adaptability,WS_Attention to Detail,WS_Cautiousness,WS_Cooperation,WS_Dependability,WS_Empathy,WS_Humility,WS_Initiative,WS_Innovation,WS_Integrity,WS_Intellectual Curiosity,WS_Leadership Orientation,WS_Optimism,WS_Perseverance,WS_Self-Confidence,WS_Self-Control,WS_Sincerity,WS_Social Orientation,WS_Stress Tolerance,WS_Tolerance for Ambiguity,IT_Artistic,IT_Conventional,IT_Enterprising,IT_Investigative,IT_Realistic,IT_Social,Job Zone
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",0.435318275,0.56684492,0.422839506,0.404580153,0.537142857,0.435,0.123333333,0.264150943,0.240331492,0.415555556,0.471111111,0.421940928,0.677835052,0.528301887,0.224806202,0.21875,0.222222222,0.324675325,0.451030928,0.557692308,0.410677618,0.398576512,0.629080119,0.418604651,0.355670103,0.248571429,0.4375,0.484536082,0.501333333,0.514038877,0.5925,0.414364641,0.451030928,0.242424242,0.376623377,0.356870229,0.260416667,0.257839721,0.471111111,0.498666667,0.479289941,0.423728814,0.296735905,0.353773585,0.304444444,0.426,0.470588235,0.38012959,0.529411765,0.497142857,0.612403101,0.613333333,0.579335793,0.689542484,0.619469027,0.773087071,0.56918239,0.829268293,0.303834808,0.49009901,0.770609319,0.511392405,0.610526316,0.434285714,0.850393701,0.321543408,0.535714286,0.655913978,0.589905363,0.347133758,0.544692737,0.564912281,0.744807122,0.101666667,0.693877551,0.725,0.266666667,0.525,0.43,3
11-3013.01,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",0.383983573,0.668449198,0.5,0.261450382,0.571428571,0.405,0.123333333,0.323113208,0.342541436,0.386666667,0.608888889,0.316455696,0.773195876,0.735849057,0.320413437,0.2421875,0.222222222,0.432900433,0.484536082,0.599358974,0.281314168,0.444839858,0.667655786,0.354005168,0.386597938,0.462857143,0.462890625,0.515463918,0.565333333,0.647948164,0.625,0.342541436,0.708762887,0.108225108,0.324675325,0.332061069,0.520833333,0.522648084,0.275555556,0.498666667,0.591715976,0.665859564,0.258160237,0.264150943,0.333333333,0.526,0.442352941,0.431965443,0.588235294,0.285714286,0.643410853,0.666666667,0.667896679,0.712418301,0.809734513,1,0.56918239,0.965853659,0.274336283,0.388613861,0.806451613,0.435443038,1,0.602857143,0.866141732,0.29903537,0.646428571,0.716845878,0.8170347,0.426751592,0.48603352,0.722807018,0.824925816,0.05,0.708719852,0.771666667,0.448333333,0.398333333,0.291666667,4
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",0.332648871,0.36631016,0.382716049,0.309160305,0.571428571,0.185,0.123333333,0.028301887,0.171270718,0.444444444,0.444444444,0.341772152,0.613402062,0.676886792,0.289405685,0.31640625,0.275555556,0.216450216,0.515463918,0.679487179,0.332648871,0.466192171,0.590504451,0,0.420103093,0.211428571,0.53515625,0.644329897,0.634666667,0.622030238,0.5925,0.240331492,0.515463918,0.324675325,0.404761905,0.309160305,0.305555556,0.303135889,0.248888889,0.4,0.443786982,0.484261501,0.296735905,0.382075472,0.415555556,0.3,0.145882353,0.38012959,0.588235294,0.285714286,0.710594315,0.666666667,0.752767528,0.826797386,0.721238938,0.688654354,0.660377358,0.829268293,0.356932153,0.475247525,0.831541219,0.830379747,0.8,0.794285714,0.850393701,0.321543408,0.560714286,0.655913978,0.589905363,0.385350318,0.675977654,0.578947368,0.893175074,0.078333333,0.803339518,0.681666667,0.581666667,0.28,0.225,4
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",0.102669405,0.331550802,0.5,0.452290076,0.748571429,0.06,0.123333333,0.353773585,0.171270718,0.444444444,0.275555556,0.156118143,0.711340206,0.617924528,0.289405685,0.31640625,0.275555556,0.108225108,0.546391753,0.519230769,0.102669405,0.599644128,0.590504451,0.57881137,0.515463918,0.211428571,0.755859375,0.644329897,0.698666667,0.539956803,0.56,0.240331492,0.515463918,0.324675325,0.404761905,0.309160305,0.215277778,0.303135889,0.248888889,0.6,0.556213018,0.544794189,0.296735905,0.382075472,0.415555556,0.276,0.207058824,0,0.381176471,0.354285714,0.772609819,0.666666667,0.726937269,0.503267974,0.884955752,0.810026385,0.537735849,0.829268293,0.368731563,0.398514851,0.684587814,0.486075949,0.985964912,0.642857143,0.858267717,0.414790997,0.571428571,0.716845878,0.634069401,0.426751592,0.759776536,0.578947368,0.795252226,0.098333333,0.73283859,1,0.243333333,0.06,0.34,4
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",0.513347023,0.197860963,0.617283951,0.452290076,0.748571429,0.06,0.123333333,0.353773585,0.171270718,0.444444444,0.386666667,0.341772152,0.613402062,0.646226415,0.289405685,0.31640625,0.275555556,0.134199134,0.613402062,0.641025641,0.486652977,0.6886121,0.629080119,0.57881137,0.515463918,0.211428571,0.78125,0.546391753,0.768,0.622030238,0.685,0.240331492,0.675257732,0.324675325,0.404761905,0.309160305,0.215277778,0.303135889,0.248888889,0.533333333,0.517751479,0.573849879,0.296735905,0.382075472,0.415555556,0.276,0.089411765,0.136069114,0.498823529,0.32,0.710594315,0.666666667,0.767527675,0.516339869,1,0.899736148,0.459119497,0.965853659,0.215339233,0.351485149,0.756272401,0.486075949,1,0.737142857,0.88976378,0.199356913,0.560714286,0.70609319,0.589905363,0.391719745,0.544692737,0.512280702,0.75074184,0.028333333,0.896103896,0.858333333,0.2,0,0.28,4
11-3031.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",0.513347023,0.299465241,0.577160494,0.452290076,0.68,0.125,0.123333333,0.353773585,0.171270718,0.444444444,0.444444444,0.316455696,0.742268041,0.646226415,0.289405685,0.31640625,0.275555556,0.242424242,0.546391753,0.641025641,0.486652977,0.6886121,0.703264095,0.57881137,0.453608247,0.211428571,0.755859375,0.613402062,0.6,0.622030238,0.655,0.240331492,0.579896907,0.324675325,0.404761905,0.309160305,0.434027778,0.303135889,0.248888889,0.533333333,0.517751479,0.573849879,0.296735905,0.382075472,0.415555556,0.452,0.381176471,0.244060475,0.56,0.32,0.710594315,0.724444444,0.885608856,0.712418301,1,0.725593668,0.323899371,0.814634146,0.218289086,0.178217822,0.795698925,0.564556962,0.985964912,0.88,0.795275591,0.321543408,0.725,0.838709677,0.703470032,0.238853503,0.581005587,0.733333333,1,0.108333333,0.667903525,0.991666667,0.461666667,0.08,0.281666667,5
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",0.383983573,0.668449198,0.617283951,0.356870229,0.642857143,0.405,0.123333333,0.146226415,0.066298343,0.248888889,0.444444444,0.447257384,0.677835052,0.735849057,0.289405685,0.21875,0.026666667,0.270562771,0.515463918,0.679487179,0.281314168,0.576512456,0.667655786,0.354005168,0.355670103,0.211428571,0.560546875,0.579896907,0.565333333,0.704103672,0.655,0,0.546391753,0.376623377,0.404761905,0.118320611,0.388888889,0.083623693,0.111111111,0.533333333,0.479289941,0.515738499,0.21958457,0.29245283,0.248888889,0.452,0.442352941,0.48812095,0.647058824,0.428571429,0.612403101,0.64,0.726937269,0.702614379,0.809734513,0.733509235,0.56918239,0.814634146,0.336283186,0.467821782,0.82078853,0.584810127,0.659649123,0.502857143,0.93175853,0.398713826,0.621428571,0.70609319,0.589905363,0.378980892,0.575418994,0.645614035,0.721068249,0.066666667,0.667903525,0.838333333,0.32,0.5,0.141666667,4
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",0.410677618,0.534759358,0.462962963,0.381679389,0.642857143,0.4675,0.123333333,0.353773585,0.171270718,0.026666667,0.497777778,0.394514768,0.871134021,0.676886792,0.289405685,0.31640625,0.275555556,0.378787879,0.613402062,0.599358974,0.383983573,0.510676157,0.703264095,0.289405685,0.453608247,0.211428571,0.53515625,0.579896907,0.565333333,0.539956803,0.78,0.240331492,0.675257732,0.051948052,0.108225108,0.022900763,0.434027778,0.303135889,0.248888889,0.498666667,0.517751479,0.605326877,0.296735905,0.028301887,0,0.452,0.235294118,0.514038877,0.588235294,0.248571429,0.643410853,0.666666667,0.715867159,0.64379085,1,0.931398417,0.635220126,0.965853659,0.280235988,0.475247525,0.770609319,0.551898734,0.866666667,0.737142857,0.850393701,0.199356913,0.657142857,0.666666667,0.589905363,0.487261146,0.530726257,0.578947368,0.448071217,0.046666667,0.706864564,0.681666667,0.52,0.43,0.178333333,4
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,0.383983573,0.63368984,0.5,0.427480916,0.571428571,0.405,0.123333333,0.353773585,0.171270718,0.444444444,0.526666667,0.5,0.644329897,0.589622642,0.129198966,0.31640625,0.275555556,0.406926407,0.355670103,0.557692308,0.357289528,0.599644128,0.590504451,0.449612403,0.291237113,0.105714286,0.609375,0.613402062,0.6,0.568034557,0.7175,0.240331492,0.546391753,0.242424242,0.432900433,0.236641221,0.434027778,0.257839721,0.304444444,0.434666667,0.369822485,0.484261501,0.21958457,0.382075472,0.415555556,0.376,0.352941176,0.514038877,0.588235294,0.32,0.643410853,0.584444444,0.498154982,0.526143791,0.721238938,0.699208443,0.509433962,0.741463415,0.268436578,0.455445545,0.508960573,0.440506329,0.635087719,0.434285714,0.367454068,0.29903537,0.514285714,0.487455197,0.485804416,0.328025478,0.491620112,0.438596491,0.658753709,0,0.59554731,0.596666667,0.391666667,0.725,0.178333333,3
11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",0.459958932,0.767379679,0.462962963,0.356870229,0.537142857,0.375,0.123333333,0.146226415,0.102209945,0.248888889,0.497777778,0.316455696,0.677835052,0.558962264,0.160206718,0.12109375,0.193333333,0.515151515,0.484536082,0.599358974,0.332648871,0.533807829,0.629080119,0.387596899,0.386597938,0.211428571,0.560546875,0.644329897,0.565333333,0.622030238,0.81,0.240331492,0.451030928,0.432900433,0.593073593,0.095419847,0.5625,0.303135889,0.248888889,0.568,0.479289941,0.573849879,0.296735905,0.29245283,0.248888889,0.476,0.381176471,0.514038877,0.588235294,0.497142857,0.643410853,0.584444444,0.498154982,0.526143791,0.721238938,0.699208443,0.509433962,0.741463415,0.268436578,0.455445545,0.508960573,0.440506329,0.635087719,0.434285714,0.367454068,0.29903537,0.514285714,0.487455197,0.485804416,0.328025478,0.491620112,0.438596491,0.658753709,0,0.640074212,0.735,0.456666667,0.598333333,0.138333333,4
11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",0.486652977,0.732620321,0.5,0.477099237,0.642857143,0.5,0.123333333,0.056603774,0.066298343,0.275555556,0.526666667,0.47257384,0.677835052,0.558962264,0.19121447,0.1953125,0.275555556,0.406926407,0.515463918,0.641025641,0.383983573,0.487544484,0.667655786,0.449612403,0.291237113,0.211428571,0.53515625,0.546391753,0.565333333,0.539956803,0.75,0.033149171,0.675257732,0.324675325,0.404761905,0.166030534,0.388888889,0.041811847,0.137777778,0.533333333,0.408284024,0.544794189,0.296735905,0.235849057,0.275555556,0.4,0.411764706,0.48812095,0.616470588,0.32,0.677002584,0.64,0.498154982,0.526143791,0.721238938,0.699208443,0.509433962,0.741463415,0.268436578,0.455445545,0.508960573,0.440506329,0.635087719,0.434285714,0.367454068,0.29903537,0.514285714,0.487455197,0.485804416,0.328025478,0.491620112,0.438596491,0.658753709,0,0.692022263,0.643333333,0.365,0.686666667,0.12,4
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,0.486652977,0.700534759,0.537037037,0.427480916,0.537142857,0.53,0.123333333,0.146226415,0.171270718,0.304444444,0.497777778,0.447257384,0.773195876,0.589622642,0.354005168,0.31640625,0.193333333,0.515151515,0.451030928,0.679487179,0.435318275,0.533807829,0.703264095,0.354005168,0.355670103,0.248571429,0.5859375,0.579896907,0.634666667,0.568034557,0.8425,0.240331492,0.546391753,0.324675325,0.512987013,0.286259542,0.479166667,0.348432056,0.36,0.533333333,0.479289941,0.605326877,0.296735905,0.382075472,0.415555556,0.476,0.411764706,0.622030238,0.677647059,0.571428571,0.710594315,0.666666667,0.498154982,0.526143791,0.721238938,0.699208443,0.509433962,0.741463415,0.268436578,0.455445545,0.508960573,0.440506329,0.635087719,0.434285714,0.367454068,0.29903537,0.514285714,0.487455197,0.485804416,0.328025478,0.491620112,0.438596491,0.658753709,0,0.632653061,0.595,0.44,0.728333333,0.138333333,3
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",0.513347023,0.43315508,0.5,0.452290076,0.571428571,0.185,0.123333333,0.056603774,0.171270718,0.444444444,0.36,0.5,0.613402062,0.70754717,0.289405685,0.31640625,0.275555556,0.324675325,0.484536082,0.641025641,0.486652977,0.576512456,0.629080119,0.57881137,0.420103093,0.211428571,0.5859375,0.515463918,0.565333333,0.676025918,0.655,0.240331492,0.484536082,0.324675325,0.404761905,0.309160305,0.388888889,0.303135889,0.248888889,0.533333333,0.591715976,0.484261501,0.296735905,0.382075472,0.415555556,0.4,0.145882353,0.272138229,0.352941176,0.034285714,0.643410853,0.64,0.656826568,0.588235294,0.752212389,0.751978892,0.635220126,0.829268293,0.297935103,0.410891089,0.698924731,0.498734177,0.814035088,0.485714286,0.834645669,0.321543408,0.55,0.795698925,0.589905363,0.372611465,0.675977654,0.421052632,0.738872404,0.033333333,0.810760668,1,0.128333333,0.248333333,0.283333333,4
